,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-01-03,6.7,1.7,4.9,4.9,-0.6,3.4,3.4,89.8,27.169,100.0,62.5,rain,0.0,0.0,16.6,16.2,65.3,1016.0,96.8,8.7,6.2,0.7,0,10,2023-01-03T07:13:41,2023-01-03T16:23:57,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
1,"Boston, MA, United States",2023-01-04,7.8,6.2,7.0,7.8,4.2,5.4,4.8,86.1,19.1,84.0,45.83,rain,0.0,0.0,37.1,16.6,17.2,1011.7,94.1,8.8,63.2,5.5,3,10,2023-01-04T07:13:41,2023-01-04T16:24:53,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
2,"Boston, MA, United States",2023-01-05,7.3,2.9,5.5,4.1,-1.7,1.4,4.5,93.6,21.3,77.0,41.67,rain,0.0,0.0,46.4,29.5,40.5,1015.0,96.8,19.7,7.8,0.7,0,10,2023-01-05T07:13:38,2023-01-05T16:25:50,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
3,"Boston, MA, United States",2023-01-06,4.2,1.7,3.2,3.8,-3.2,0.9,2.0,91.7,5.6,71.4,58.33,"rain,snow",0.0,0.0,35.6,20.5,19.3,1015.9,100.0,15.2,11.2,0.9,1,10,2023-01-06T07:13:33,2023-01-06T16:26:49,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,rain,
4,"Boston, MA, United States",2023-01-07,4.6,2.5,3.3,4.6,-1.0,1.8,0.9,84.5,0.6,23.8,25.0,"rain,snow",0.0,0.0,27.0,13.0,292.5,1021.3,98.8,16.1,44.2,3.9,2,10,2023-01-07T07:13:25,2023-01-07T16:27:50,0.5,Overcast,Cloudy skies throughout the day.,cloudy,
5,"Boston, MA, United States",2023-01-08,5.3,0.9,2.7,1.6,-3.3,-0.8,-0.9,78.7,2.1,33.3,20.83,"rain,snow",0.2,0.1,40.7,19.4,300.0,1017.4,53.0,15.1,68.3,6.0,3,10,2023-01-08T07:13:15,2023-01-08T16:28:51,0.52,Partially cloudy,Clearing in the afternoon.,snow,
6,"Boston, MA, United States",2023-01-09,4.4,0.1,1.7,1.3,-3.4,-1.0,-4.8,61.9,0.0,19.0,0.0,,0.0,0.0,33.1,13.1,230.1,1020.8,72.9,24.1,73.4,6.6,3,10,2023-01-09T07:13:03,2023-01-09T16:29:55,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2023-01-10,2.7,-6.0,-0.5,-2.2,-13.5,-5.8,-8.6,55.3,0.0,19.0,0.0,,0.0,0.0,43.2,28.8,314.1,1013.3,37.0,24.1,100.6,8.7,4,10,2023-01-10T07:12:48,2023-01-10T16:30:59,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
