,datetime,tempmin,temp,tempmax
0,2023-01-03,1.7,4.9,6.7
1,2023-01-04,6.2,7.0,7.8
2,2023-01-05,2.9,5.5,7.3
3,2023-01-06,1.7,3.2,4.2
4,2023-01-07,2.5,3.3,4.6
5,2023-01-08,0.9,2.7,5.3
6,2023-01-09,0.1,1.7,4.4
7,2023-01-10,-6.0,-0.5,2.7
