,datetime,description,icon
0,2023-01-03,Cloudy skies throughout the day with rain.,rain
1,2023-01-04,Cloudy skies throughout the day with a chance of rain.,rain
2,2023-01-05,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
3,2023-01-06,Cloudy skies throughout the day with a chance of rain or snow.,rain
4,2023-01-07,Cloudy skies throughout the day.,cloudy
5,2023-01-08,Clearing in the afternoon.,snow
6,2023-01-09,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-01-10,Clearing in the afternoon.,partly-cloudy-day
