,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-12-29,8.4,1.7,4.1,5.9,-1.9,0.9,-1.0,69.8,0.0,0.0,0.0,,0,0,33.5,16.6,224.5,1024.2,22.4,18.6,95.8,8.4,4,10,2022-12-29T07:13:08,2022-12-29T16:19:43,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,KBOS"
1,"Boston, MA, United States",2022-12-30,11.2,2.8,7.2,11.2,-0.6,5.1,2.2,71.5,0.0,0.0,0.0,,0,0,31.3,16.6,224.9,1022.5,29.1,18.3,93.5,8.2,4,10,2022-12-30T07:13:20,2022-12-30T16:20:30,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Boston, MA, United States",2022-12-31,11.2,8.4,9.6,11.2,5.7,8.2,6.9,83.2,3.4,95.2,16.67,rain,0,0,31.0,16.6,215.8,1017.5,82.9,21.6,69.0,6.0,3,10,2022-12-31T07:13:29,2022-12-31T16:21:19,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
3,"Boston, MA, United States",2023-01-01,12.6,5.2,9.2,12.6,1.5,7.4,6.5,84.4,6.0,100.0,33.33,rain,0,0,60.8,31.0,264.3,1004.8,63.3,14.1,51.5,4.5,4,10,2023-01-01T07:13:35,2023-01-01T16:22:10,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
4,"Boston, MA, United States",2023-01-02,9.2,3.5,5.7,7.2,-0.1,3.3,0.1,67.9,0.0,4.8,0.0,,0,0,45.4,18.0,288.2,1020.0,24.6,24.1,93.9,8.1,4,10,2023-01-02T07:13:40,2023-01-02T16:23:02,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
5,"Boston, MA, United States",2023-01-03,12.3,3.3,7.4,12.3,1.6,6.3,4.7,83.1,0.0,19.0,0.0,,0,0,72.4,25.2,196.0,1024.0,60.9,24.1,62.3,5.6,3,10,2023-01-03T07:13:41,2023-01-03T16:23:57,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-01-04,14.8,12.4,13.7,14.8,12.4,13.7,12.2,90.9,4.9,61.9,20.83,rain,0,0,73.8,28.4,208.9,1015.4,92.9,21.6,18.0,1.7,1,10,2023-01-04T07:13:41,2023-01-04T16:24:53,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
7,"Boston, MA, United States",2023-01-05,13.6,5.3,10.6,13.6,2.6,9.7,5.5,71.8,0.1,47.6,4.17,rain,0,0,54.7,21.2,264.3,1020.0,88.0,23.9,85.6,7.2,4,10,2023-01-05T07:13:38,2023-01-05T16:25:50,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
