,datetime,tempmin,temp,tempmax
0,2022-12-29,1.7,4.1,8.4
1,2022-12-30,2.8,7.2,11.2
2,2022-12-31,8.4,9.6,11.2
3,2023-01-01,5.2,9.2,12.6
4,2023-01-02,3.5,5.7,9.2
5,2023-01-03,3.3,7.4,12.3
6,2023-01-04,12.4,13.7,14.8
7,2023-01-05,5.3,10.6,13.6
